epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46447,2.2458,2.59095,1.99099,0.61125,0.65101,0.66361,0.3274,1.58836,7.21706,1.59854,0.00018,0.00018,0.00018
2,8.24984,1.5914,1.14812,1.43119,0.91287,0.86846,0.92761,0.5333,1.42379,1.46381,1.48189,0.000376238,0.000376238,0.000376238
3,11.8996,1.46705,0.87057,1.30243,0.90441,0.92349,0.96986,0.5799,1.36232,0.99912,1.42698,0.000568516,0.000568516,0.000568516
4,15.5808,1.44119,0.81153,1.29463,0.64876,0.81815,0.63719,0.36544,1.42464,1.18646,1.44967,0.000756834,0.000756834,0.000756834
5,19.1983,1.39284,0.73853,1.27876,0.89704,0.9047,0.94518,0.56348,1.45609,0.87362,1.47769,0.000941192,0.000941192,0.000941192
6,22.6837,1.36231,0.7446,1.25997,0.91924,0.91141,0.94562,0.56508,1.44457,0.87184,1.5023,0.00112159,0.00112159,0.00112159
7,26.1483,1.33974,0.72457,1.26391,0.8366,0.91141,0.86461,0.54841,1.27642,0.95876,1.3683,0.00129803,0.00129803,0.00129803
8,29.5817,1.34207,0.68361,1.27738,0.95029,0.91812,0.97173,0.60378,1.3311,0.88438,1.41643,0.00147051,0.00147051,0.00147051
9,33.0114,1.34024,0.65816,1.21784,0.93664,0.93257,0.96999,0.60314,1.30526,0.887,1.3465,0.00163902,0.00163902,0.00163902
10,36.4175,1.33542,0.67299,1.23507,0.96349,0.92108,0.98314,0.62664,1.30795,0.73889,1.38695,0.00180358,0.00180358,0.00180358
11,39.8264,1.27635,0.64431,1.23222,0.93075,0.92215,0.9478,0.60375,1.3004,0.78043,1.39131,0.001802,0.001802,0.001802
12,43.159,1.33301,0.65394,1.23088,0.94292,0.93557,0.96799,0.60366,1.33766,0.7139,1.39551,0.0017822,0.0017822,0.0017822
13,46.3911,1.30184,0.6302,1.22134,0.94781,0.92626,0.95382,0.61066,1.28103,0.64557,1.35703,0.0017624,0.0017624,0.0017624
14,49.7738,1.28674,0.61731,1.20296,0.96245,0.94094,0.9758,0.63732,1.24193,0.61319,1.31481,0.0017426,0.0017426,0.0017426
15,53.1223,1.28066,0.61874,1.21182,0.93612,0.91946,0.9601,0.61369,1.26754,0.69755,1.32815,0.0017228,0.0017228,0.0017228
16,56.4529,1.25134,0.60087,1.18377,0.95777,0.94369,0.98386,0.63087,1.26872,0.63268,1.33892,0.001703,0.001703,0.001703
17,59.8534,1.24043,0.57633,1.16409,0.96945,0.9302,0.97759,0.6193,1.25977,0.65488,1.33277,0.0016832,0.0016832,0.0016832
18,63.19,1.26086,0.58511,1.20188,0.96583,0.94837,0.9896,0.65486,1.22762,0.57304,1.30926,0.0016634,0.0016634,0.0016634
19,66.4763,1.24183,0.57264,1.1704,0.95738,0.95168,0.986,0.64473,1.2497,0.61429,1.35324,0.0016436,0.0016436,0.0016436
20,69.8526,1.27999,0.57555,1.17952,0.96917,0.95168,0.98239,0.64484,1.23794,0.60082,1.27638,0.0016238,0.0016238,0.0016238
21,73.185,1.28221,0.58549,1.19041,0.95485,0.91141,0.96476,0.59936,1.34371,0.64412,1.39071,0.001604,0.001604,0.001604
22,76.4918,1.27006,0.57234,1.18186,0.96368,0.92617,0.97955,0.65625,1.2227,0.55459,1.26282,0.0015842,0.0015842,0.0015842
23,79.6877,1.22798,0.57332,1.17643,0.94973,0.96374,0.97848,0.63776,1.25654,0.55001,1.30802,0.0015644,0.0015644,0.0015644
24,83.0563,1.2397,0.56559,1.17609,0.9712,0.95068,0.9875,0.6626,1.23062,0.53568,1.29735,0.0015446,0.0015446,0.0015446
25,86.4632,1.19685,0.54162,1.14602,0.95697,0.9651,0.9902,0.66301,1.22358,0.55439,1.30455,0.0015248,0.0015248,0.0015248
26,89.7729,1.19407,0.53673,1.15802,0.97147,0.95985,0.98593,0.66582,1.22996,0.50962,1.28372,0.001505,0.001505,0.001505
27,93.0036,1.20114,0.5414,1.17178,0.97542,0.95882,0.98896,0.67013,1.21822,0.50934,1.25212,0.0014852,0.0014852,0.0014852
28,96.3363,1.18299,0.53109,1.14208,0.96991,0.96913,0.98998,0.67156,1.21254,0.51447,1.25752,0.0014654,0.0014654,0.0014654
29,99.555,1.18681,0.51611,1.13125,0.97392,0.9651,0.99037,0.66807,1.21575,0.50718,1.26485,0.0014456,0.0014456,0.0014456
30,102.879,1.18254,0.52019,1.12452,0.97659,0.96242,0.98964,0.66415,1.21724,0.51359,1.25022,0.0014258,0.0014258,0.0014258
31,106.081,1.16512,0.51183,1.13167,0.97171,0.97315,0.99186,0.66755,1.19364,0.50354,1.24526,0.001406,0.001406,0.001406
32,109.313,1.15101,0.50908,1.14235,0.96454,0.94932,0.98774,0.65012,1.26308,0.54882,1.298,0.0013862,0.0013862,0.0013862
33,112.592,1.16495,0.51678,1.14115,0.95862,0.96913,0.99006,0.66529,1.2075,0.53145,1.25065,0.0013664,0.0013664,0.0013664
34,115.921,1.15474,0.51277,1.13041,0.97016,0.96012,0.98647,0.66607,1.21026,0.53466,1.2463,0.0013466,0.0013466,0.0013466
35,119.219,1.18312,0.52581,1.13565,0.94925,0.96376,0.98527,0.67792,1.2305,0.53248,1.2476,0.0013268,0.0013268,0.0013268
36,122.585,1.15832,0.51743,1.14346,0.96922,0.97229,0.99205,0.64719,1.32331,0.53847,1.29284,0.001307,0.001307,0.001307
37,125.87,1.17237,0.50682,1.11921,0.96704,0.96242,0.98881,0.67227,1.19673,0.51456,1.26234,0.0012872,0.0012872,0.0012872
38,129.221,1.18274,0.50816,1.15175,0.95533,0.97592,0.98919,0.68126,1.19231,0.51028,1.24776,0.0012674,0.0012674,0.0012674
39,132.559,1.16069,0.49996,1.13712,0.95861,0.95973,0.98375,0.65893,1.21792,0.5192,1.28465,0.0012476,0.0012476,0.0012476
40,135.953,1.16885,0.49946,1.13416,0.96863,0.97584,0.99137,0.68038,1.19867,0.51421,1.26027,0.0012278,0.0012278,0.0012278
41,139.306,1.13298,0.4947,1.12657,0.97935,0.97181,0.98935,0.69049,1.18755,0.49038,1.24575,0.001208,0.001208,0.001208
42,142.735,1.13586,0.48864,1.11955,0.97421,0.96338,0.99116,0.68441,1.1812,0.49332,1.23166,0.0011882,0.0011882,0.0011882
