epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.28388,1.49702,50.9008,1.25501,0.0003,0.44444,0.00032,0.00017,0.69947,190.141,0.54755,0.00022,0.00022,0.00022
2,6.90225,1.65479,11.8753,1.21878,0.41423,0.33333,0.31451,0.21121,0.7182,203.53,0.55888,0.000455446,0.000455446,0.000455446
3,9.54655,1.49599,5.44976,1.1329,0.00205,0.11111,0.00165,0.00096,0.77813,402.571,0.62863,0.00068614,0.00068614,0.00068614
4,12.2465,1.47211,2.70468,1.1573,0.07402,0.33333,0.04657,0.03314,0.66453,287.136,0.53604,0.000912082,0.000912082,0.000912082
5,14.7556,1.54489,2.7835,1.16848,0.0007,1,0.00574,0.00209,0.90946,56.9483,0.62272,0.00113327,0.00113327,0.00113327
6,17.1224,1.75631,3.06689,1.18062,0.00524,0.55556,0.00441,0.00223,0.87401,nan,0.66282,0.00134971,0.00134971,0.00134971
7,19.4824,1.64719,1.58128,1.26951,0.00758,0.55556,0.00539,0.00353,0.68468,nan,0.57323,0.0015614,0.0015614,0.0015614
8,21.9469,1.63769,1.55757,1.20988,0.00181,0.11111,0.00118,0.00054,1.3272,nan,2.16436,0.00176833,0.00176833,0.00176833
9,24.4165,1.57688,1.69343,1.18354,0.00483,0.44444,0.00289,0.00154,0.81333,4110.52,0.78987,0.0018416,0.0018416,0.0018416
10,26.7754,1.75368,1.97529,1.26419,0.00031,0.11111,0.00069,0.00014,1.95839,nan,88.5709,0.0018218,0.0018218,0.0018218
11,29.1896,1.54902,1.42565,1.20238,0,0,0,0,1.91415,nan,90.205,0.001802,0.001802,0.001802
12,31.5536,1.42726,1.19514,1.1127,0,0,0,0,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,33.8975,1.59473,1.56718,1.18826,0,0,0,0,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,36.2076,1.59282,1.21543,1.17905,0,0,0,0,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,38.3826,1.75808,1.45568,1.30767,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,40.7894,1.65427,1.37539,1.3453,0,0,0,0,nan,nan,nan,0.001703,0.001703,0.001703
17,43.2701,1.46379,1.29124,1.15268,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,45.5222,1.41392,1.38532,1.10569,0,0,0,0,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,47.8146,1.39454,1.11543,1.0433,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,50.2264,1.45093,1.26938,1.1532,0,0,0,0,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,52.6719,1.29835,1.13694,1.08076,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
22,55.0139,1.40582,1.02679,1.02638,0.96807,0.22222,0.32437,0.15974,1.15252,1.92539,0.99185,0.0015842,0.0015842,0.0015842
23,57.4104,1.62855,1.04949,1.19942,1,0.86151,0.96115,0.59394,0.60396,7.57122,0.52205,0.0015644,0.0015644,0.0015644
24,59.8443,1.43157,1.12049,1.1937,0.94222,0.77778,0.87921,0.5027,0.69531,8.26576,0.53106,0.0015446,0.0015446,0.0015446
25,62.2367,1.33409,0.90264,1.04562,1,0.90919,0.995,0.68204,0.59358,2.00265,0.48393,0.0015248,0.0015248,0.0015248
26,64.5215,1.30205,1.17559,1.07808,0.97795,0.88889,0.95571,0.68776,0.6496,4.4155,0.51534,0.001505,0.001505,0.001505
27,66.8656,1.27657,1.24365,1.02029,0.8125,0.88889,0.9077,0.56876,0.81659,5.61906,0.56862,0.0014852,0.0014852,0.0014852
28,69.2964,1.47174,1.03397,1.13483,0.88332,1,0.984,0.6426,0.65286,7.2111,0.50253,0.0014654,0.0014654,0.0014654
29,71.6517,1.31484,0.91443,1.05543,1,0.86998,0.95571,0.63265,0.67845,0.8955,0.51164,0.0014456,0.0014456,0.0014456
30,73.9205,1.30772,1.00378,1.09158,1,0.96478,0.995,0.60618,0.66349,4.10606,0.50936,0.0014258,0.0014258,0.0014258
31,76.2492,1.38783,1.02551,1.09983,1,0.97315,0.995,0.64954,0.67141,6.4586,0.52658,0.001406,0.001406,0.001406
32,78.6076,1.43333,0.91093,1.09222,0.9679,1,0.995,0.66872,0.61186,2.16229,0.49397,0.0013862,0.0013862,0.0013862
33,80.9138,1.34287,0.8796,1.0568,0.8878,1,0.984,0.57713,0.68574,2.07384,0.53659,0.0013664,0.0013664,0.0013664
34,83.1549,1.40425,1.05836,1.08048,1,0.77272,0.87833,0.51682,0.75372,0.67522,0.54608,0.0013466,0.0013466,0.0013466
35,85.4416,1.28829,0.8362,1.04065,0.99392,0.77778,0.86366,0.65003,0.59305,0.49794,0.48894,0.0013268,0.0013268,0.0013268
36,87.7695,1.25311,0.85367,1.06279,0.89458,1,0.984,0.64221,0.66054,1.52528,0.50996,0.001307,0.001307,0.001307
37,90.106,1.23078,0.76873,1.04031,0.9935,0.88889,0.92804,0.66279,0.6631,2.06788,0.51476,0.0012872,0.0012872,0.0012872
38,92.3882,1.18112,0.81729,1.00256,0.89723,0.97228,0.8955,0.55915,0.68802,6.79724,0.53214,0.0012674,0.0012674,0.0012674
39,94.8085,1.22609,0.70773,1.06925,0.88983,1,0.8955,0.57424,0.58903,5.62924,0.50112,0.0012476,0.0012476,0.0012476
40,97.1922,1.24247,0.73089,1.04215,0.8991,0.99096,0.973,0.69471,0.52055,3.36558,0.4685,0.0012278,0.0012278,0.0012278
41,99.6559,1.03878,0.68623,0.95447,0.88746,1,0.984,0.71825,0.56038,2.08334,0.48155,0.001208,0.001208,0.001208
42,101.939,1.22456,0.72827,1.03961,0.98814,1,0.995,0.70888,0.56979,0.94365,0.48969,0.0011882,0.0011882,0.0011882
43,104.442,1.13256,0.67095,1.02587,0.99782,1,0.995,0.69187,0.5698,2.37865,0.49354,0.0011684,0.0011684,0.0011684
44,107.112,1.20704,0.75026,1.01738,0.98202,0.88889,0.9675,0.65109,0.55556,2.34673,0.47045,0.0011486,0.0011486,0.0011486
45,109.487,1.248,0.83853,0.98323,0.99049,0.88889,0.96115,0.6072,0.63316,0.85689,0.49708,0.0011288,0.0011288,0.0011288
46,111.786,1.01442,0.67538,0.93046,0.99763,0.88889,0.96115,0.62175,0.60047,0.44318,0.49352,0.001109,0.001109,0.001109
47,114.178,1.13375,0.71625,0.97622,0.98596,1,0.995,0.67708,0.55809,0.77627,0.48035,0.0010892,0.0010892,0.0010892
48,116.56,1.088,0.65972,1.03313,0.99156,1,0.995,0.71098,0.55518,0.64599,0.48499,0.0010694,0.0010694,0.0010694
49,118.814,1.3249,0.94044,1.17677,0.9939,1,0.995,0.68666,0.5494,0.36289,0.46982,0.0010496,0.0010496,0.0010496
50,121.263,1.31274,1.24196,1.06239,0.99097,1,0.995,0.69312,0.55545,0.40296,0.4733,0.0010298,0.0010298,0.0010298
51,123.651,1.04955,0.65489,0.9411,1,0.97861,0.995,0.66038,0.62445,0.44528,0.49409,0.00101,0.00101,0.00101
52,125.919,1.14924,0.77035,1.02687,1,0.88713,0.984,0.69451,0.55785,0.33281,0.47512,0.0009902,0.0009902,0.0009902
53,128.293,1.38938,0.98793,1.08943,1,0.93117,0.995,0.63781,0.62323,0.39818,0.49277,0.0009704,0.0009704,0.0009704
54,130.702,0.96398,0.6518,0.88799,1,0.98944,0.995,0.64966,0.63271,0.37117,0.49367,0.0009506,0.0009506,0.0009506
55,133.214,1.05973,0.71873,1.00377,0.99462,1,0.995,0.69251,0.59584,0.67905,0.48691,0.0009308,0.0009308,0.0009308
56,135.614,1.02251,0.73596,0.93973,0.89082,1,0.984,0.68862,0.56985,4.62258,0.48219,0.000911,0.000911,0.000911
57,137.938,0.99235,0.69508,0.93505,0.87063,0.88889,0.94893,0.60778,0.61797,3.78364,0.49997,0.0008912,0.0008912,0.0008912
58,140.211,1.02301,0.65152,0.95632,0.99336,1,0.995,0.73886,0.52553,0.75704,0.464,0.0008714,0.0008714,0.0008714
59,142.526,1.00993,0.58683,0.97518,0.97741,1,0.995,0.72178,0.54848,1.32542,0.45806,0.0008516,0.0008516,0.0008516
60,144.868,0.98187,0.5985,0.88295,0.99025,1,0.995,0.74383,0.48647,0.56891,0.45079,0.0008318,0.0008318,0.0008318
61,147.212,0.9732,0.60384,0.93437,0.9923,1,0.995,0.73414,0.51942,0.46296,0.46026,0.000812,0.000812,0.000812
62,149.639,0.95804,0.59584,0.94837,1,0.98288,0.995,0.6915,0.56545,1.45423,0.46514,0.0007922,0.0007922,0.0007922
63,151.891,1.10221,0.60113,0.98277,0.8977,1,0.984,0.73192,0.52006,1.98778,0.46525,0.0007724,0.0007724,0.0007724
64,154.221,1.0275,0.62299,0.92228,0.99285,1,0.995,0.70298,0.54564,0.93456,0.46628,0.0007526,0.0007526,0.0007526
65,156.529,0.93883,0.54474,0.89685,0.9923,1,0.995,0.71661,0.5859,0.50126,0.47114,0.0007328,0.0007328,0.0007328
66,158.949,0.92941,0.60397,0.92519,0.99217,1,0.995,0.72314,0.54083,0.38794,0.46416,0.000713,0.000713,0.000713
67,161.49,1.00483,0.71763,0.95668,0.98838,1,0.995,0.73404,0.509,0.63794,0.46407,0.0006932,0.0006932,0.0006932
68,163.911,0.98753,0.64001,0.96089,0.98858,1,0.995,0.75713,0.49921,1.17449,0.4514,0.0006734,0.0006734,0.0006734
69,166.323,0.9261,1.05662,0.83443,0.98285,1,0.995,0.70892,0.50767,0.82191,0.45782,0.0006536,0.0006536,0.0006536
70,168.545,1.02064,0.6477,0.97704,0.98645,1,0.995,0.68973,0.55023,0.6272,0.47331,0.0006338,0.0006338,0.0006338
71,170.866,0.98828,0.54864,0.94247,0.98438,1,0.995,0.68402,0.55509,1.4483,0.47863,0.000614,0.000614,0.000614
72,173.263,0.98367,0.65422,0.9519,0.97336,1,0.995,0.7131,0.56413,4.79823,0.4757,0.0005942,0.0005942,0.0005942
73,175.592,0.89969,0.54089,0.92485,0.97481,1,0.995,0.73614,0.56069,3.7956,0.47303,0.0005744,0.0005744,0.0005744
74,177.933,0.9284,0.53543,0.94901,0.9868,1,0.995,0.73744,0.51874,1.22076,0.45507,0.0005546,0.0005546,0.0005546
75,180.144,0.87959,0.51998,0.9031,0.98241,1,0.995,0.72441,0.5329,0.84572,0.45708,0.0005348,0.0005348,0.0005348
76,182.517,0.93172,0.57297,0.88344,0.98963,1,0.995,0.66112,0.59513,0.55052,0.4721,0.000515,0.000515,0.000515
77,184.821,0.9466,0.57994,0.94895,0.9932,1,0.995,0.72815,0.53611,0.32369,0.45566,0.0004952,0.0004952,0.0004952
78,187.156,0.96808,0.55255,0.92247,0.99292,1,0.995,0.67952,0.52417,0.3286,0.45036,0.0004754,0.0004754,0.0004754
79,189.473,0.93991,0.55169,0.9779,0.99066,1,0.995,0.65349,0.56203,0.52103,0.4648,0.0004556,0.0004556,0.0004556
80,191.882,0.92889,0.51768,0.97425,0.98205,1,0.995,0.67846,0.6012,0.96656,0.47407,0.0004358,0.0004358,0.0004358
81,194.067,0.82229,0.50929,0.86928,0.97716,1,0.995,0.67072,0.61881,1.27325,0.48456,0.000416,0.000416,0.000416
82,196.326,0.82974,0.49525,0.88983,0.98951,1,0.995,0.68205,0.59655,0.89408,0.48092,0.0003962,0.0003962,0.0003962
83,198.732,0.85242,0.46982,0.89611,0.99033,1,0.995,0.70291,0.62066,0.71787,0.49047,0.0003764,0.0003764,0.0003764
84,201.011,0.94298,0.50483,0.95117,1,0.99982,0.995,0.72727,0.56693,0.53917,0.47381,0.0003566,0.0003566,0.0003566
85,203.159,0.97248,0.55891,1.00421,1,0.99098,0.995,0.71971,0.57153,0.70908,0.46638,0.0003368,0.0003368,0.0003368
86,205.521,0.91834,0.51125,0.94164,0.98448,1,0.995,0.74555,0.56793,0.82209,0.46483,0.000317,0.000317,0.000317
87,207.837,0.83254,0.53548,0.88992,0.98788,1,0.995,0.72366,0.56339,0.63469,0.46866,0.0002972,0.0002972,0.0002972
88,210.257,0.78363,0.46508,0.90147,0.99195,1,0.995,0.71563,0.55953,0.37222,0.46572,0.0002774,0.0002774,0.0002774
89,212.597,0.88238,0.48251,0.96752,0.99303,1,0.995,0.69025,0.56462,0.35302,0.46139,0.0002576,0.0002576,0.0002576
90,215.207,0.82612,0.48917,0.90389,0.99291,1,0.995,0.73109,0.54412,0.36671,0.45674,0.0002378,0.0002378,0.0002378
91,233.505,0.89514,0.52431,1.01041,0.99083,1,0.995,0.68816,0.54634,0.47742,0.4588,0.000218,0.000218,0.000218
92,235.644,0.73374,0.4647,0.86843,0.98821,1,0.995,0.7173,0.57176,0.61653,0.46523,0.0001982,0.0001982,0.0001982
93,237.986,0.79486,0.45607,0.92728,0.98899,1,0.995,0.68862,0.58329,0.59917,0.47184,0.0001784,0.0001784,0.0001784
94,240.172,0.77789,0.4856,0.96907,0.98932,1,0.995,0.67841,0.59558,0.60781,0.4788,0.0001586,0.0001586,0.0001586
95,242.41,0.84437,0.48108,0.96902,0.99043,1,0.995,0.70055,0.57873,0.54732,0.47411,0.0001388,0.0001388,0.0001388
96,244.652,0.65767,0.38842,0.85526,0.99078,1,0.995,0.706,0.55049,0.53999,0.46263,0.000119,0.000119,0.000119
97,246.915,0.78456,0.45452,0.96726,0.992,1,0.995,0.70057,0.54574,0.46445,0.45912,9.92e-05,9.92e-05,9.92e-05
98,249.273,0.7285,0.41776,0.9089,0.99262,1,0.995,0.70453,0.53917,0.42648,0.45694,7.94e-05,7.94e-05,7.94e-05
99,251.487,0.61644,0.40194,0.84449,0.99246,1,0.995,0.70497,0.52991,0.4479,0.45527,5.96e-05,5.96e-05,5.96e-05
100,253.779,0.79914,0.43801,0.9764,0.99226,1,0.995,0.70497,0.52758,0.44031,0.45464,3.98e-05,3.98e-05,3.98e-05
